ID,Low Level Name,Mid Level Name,High Level Name,CIP Number,CIP Group Name
N/A,Criminology,Social Sciences,Economic & Social Sciences,45.04,Criminology.
N/A,Cultural Studies,Social Sciences,Economic & Social Sciences,30.26,Cultural Studies/Critical Theory and Analysis.
N/A,Demography,Social Sciences,Economic & Social Sciences,45.05,Demography and Population Studies.
N/A,Education,Social Sciences,Economic & Social Sciences,13.01,"Education, General."
N/A,Family Studies,Social Sciences,Economic & Social Sciences,19.00,Work and Family Studies.
N/A,Gender Studies,Social Sciences,Economic & Social Sciences,5.99,"Area, Ethnic, Cultural, and Gender Studies, Other."
N/A,Geography,Social Sciences,Economic & Social Sciences,45.07,Geography and Cartography.
N/A,Information & Library Sciences,Social Sciences,Economic & Social Sciences,25.01,Library Science and Administration.
N/A,International Relations,Social Sciences,Economic & Social Sciences,45.09,International Relations and National Security Studies.
N/A,Law,Social Sciences,Economic & Social Sciences,22.01,Law.
N/A,Political Science & Public Administration,Social Sciences,Economic & Social Sciences,45.10,Political Science and Government.
N/A,Science Studies,Social Sciences,Economic & Social Sciences,45.99,"Social Sciences, Other."
N/A,Social Sciences Methods,Social Sciences,Economic & Social Sciences,45.99,"Social Sciences, Other."
N/A,Social Work,Social Sciences,Economic & Social Sciences,44.07,Social Work.
N/A,Sociology,Social Sciences,Economic & Social Sciences,45.11,Sociology.
N/A,"General Arts, Humanities & Social Sciences","General Arts, Humanities & Social Sciences",General,24.01,"Liberal Arts and Sciences, General Studies and Humanities."
N/A,General Science & Technology,General Science & Technology,General,30.15,"Science, Technology and Society."
N/A,Anatomy & Morphology,Biomedical Research,Health Sciences,26.04,Cell/Cellular Biology and Anatomical Sciences.
N/A,Biochemistry & Molecular Biology,Biomedical Research,Health Sciences,26.02,"Biochemistry, Biophysics and Molecular Biology."
N/A,Biophysics,Biomedical Research,Health Sciences,26.02,"Biochemistry, Biophysics and Molecular Biology."
N/A,Developmental Biology,Biomedical Research,Health Sciences,26.04,Cell/Cellular Biology and Anatomical Sciences.
N/A,Genetics & Heredity,Biomedical Research,Health Sciences,26.08,Genetics.
N/A,Microbiology,Biomedical Research,Health Sciences,26.05,Microbiological Sciences and Immunology.
N/A,Microscopy,Biomedical Research,Health Sciences,26.01,"Biology, General."
N/A,Mycology & Parasitology,Biomedical Research,Health Sciences,26.05,Microbiological Sciences and Immunology.
N/A,Nutrition & Dietetics,Biomedical Research,Health Sciences,19.05,"Foods, Nutrition, and Related Services."
N/A,Physiology,Biomedical Research,Health Sciences,26.09,"Physiology, Pathology and Related Sciences."
N/A,Toxicology,Biomedical Research,Health Sciences,26.10,Pharmacology and Toxicology.
N/A,Virology,Biomedical Research,Health Sciences,26.05,Microbiological Sciences and Immunology.
N/A,Allergy,Clinical Medicine,Health Sciences,51.12,Medicine.
N/A,Anesthesiology,Clinical Medicine,Health Sciences,51.12,Medicine.
N/A,Arthritis & Rheumatology,Clinical Medicine,Health Sciences,51.12,Medicine.
N/A,Cardiovascular System & Hematology,Clinical Medicine,Health Sciences,51.12,Medicine.
N/A,Complementary & Alternative Medicine,Clinical Medicine,Health Sciences,51.33,Alternative and Complementary Medicine and Medical Systems.
N/A,Dentistry,Clinical Medicine,Health Sciences,51.04,Dentistry.
N/A,Dermatology & Venereal Diseases,Clinical Medicine,Health Sciences,51.12,Medicine.
N/A,Emergency & Critical Care Medicine,Clinical Medicine,Health Sciences,51.12,Medicine.
N/A,Endocrinology & Metabolism,Clinical Medicine,Health Sciences,51.12,Medicine.
N/A,Environmental & Occupational Health,Clinical Medicine,Health Sciences,51.22,Public Health.
N/A,Gastroenterology & Hepatology,Clinical Medicine,Health Sciences,51.12,Medicine.
N/A,General & Internal Medicine,Clinical Medicine,Health Sciences,51.12,Medicine.
N/A,General Clinical Medicine,Clinical Medicine,Health Sciences,51.12,Medicine.
N/A,Geriatrics,Clinical Medicine,Health Sciences,30.11,Gerontology.
N/A,Immunology,Clinical Medicine,Health Sciences,26.05,Microbiological Sciences and Immunology.
N/A,Legal & Forensic Medicine,Clinical Medicine,Health Sciences,51.12,Medicine.
N/A,Neurology & Neurosurgery,Clinical Medicine,Health Sciences,51.12,Medicine.
N/A,Nuclear Medicine & Medical Imaging,Clinical Medicine,Health Sciences,51.09,"Allied Health Diagnostic, Intervention, and Treatment Professions."
N/A,Obstetrics & Reproductive Medicine,Clinical Medicine,Health Sciences,51.12,Medicine.
N/A,Oncology & Carcinogenesis,Clinical Medicine,Health Sciences,51.12,Medicine.
N/A,Ophthalmology & Optometry,Clinical Medicine,Health Sciences,51.17,Optometry.
N/A,Orthopedics,Clinical Medicine,Health Sciences,51.12,Medicine.
N/A,Otorhinolaryngology,Clinical Medicine,Health Sciences,51.12,Medicine.
N/A,Pathology,Clinical Medicine,Health Sciences,26.09,"Physiology, Pathology and Related Sciences."
N/A,Pediatrics,Clinical Medicine,Health Sciences,51.12,Medicine.
N/A,Pharmacology & Pharmacy,Clinical Medicine,Health Sciences,26.10,Pharmacology and Toxicology.
N/A,Psychiatry,Clinical Medicine,Health Sciences,51.12,Medicine.
N/A,Respiratory System,Clinical Medicine,Health Sciences,51.12,Medicine.
N/A,Sport Sciences,Clinical Medicine,Health Sciences,31.05,Health and Physical Education/Fitness.
N/A,Surgery,Clinical Medicine,Health Sciences,51.12,Medicine.
N/A,Tropical Medicine,Clinical Medicine,Health Sciences,51.12,Medicine.
N/A,Urology & Nephrology,Clinical Medicine,Health Sciences,51.12,Medicine.
N/A,Behavioral Science & Comparative Psychology,Psychology & Cognitive Sciences,Health Sciences,42.05,Comparative Psychology.
N/A,Clinical Psychology,Psychology & Cognitive Sciences,Health Sciences,42.02,Clinical Psychology.
N/A,Developmental & Child Psychology,Psychology & Cognitive Sciences,Health Sciences,42.07,Developmental and Child Psychology.
N/A,Experimental Psychology,Psychology & Cognitive Sciences,Health Sciences,42.08,Experimental Psychology.
N/A,General Psychology & Cognitive Sciences,Psychology & Cognitive Sciences,Health Sciences,42.01,"Psychology, General."
N/A,Human Factors,Psychology & Cognitive Sciences,Health Sciences,42.27,Research and Experimental Psychology.
N/A,Psychoanalysis,Psychology & Cognitive Sciences,Health Sciences,42.28,"Clinical, Counseling and Applied Psychology."
N/A,Social Psychology,Psychology & Cognitive Sciences,Health Sciences,42.16,Social Psychology.
N/A,Epidemiology,Public Health & Health Services,Health Sciences,26.13,"Ecology, Evolution, Systematics, and Population Biology."
N/A,Gerontology,Public Health & Health Services,Health Sciences,30.11,Gerontology.
N/A,Health Policy & Services,Public Health & Health Services,Health Sciences,44.05,Public Policy Analysis.
N/A,Nursing,Public Health & Health Services,Health Sciences,51.16,Nursing.
N/A,Public Health,Public Health & Health Services,Health Sciences,51.22,Public Health.
N/A,Rehabilitation,Public Health & Health Services,Health Sciences,51.23,Rehabilitation and Therapeutic Professions.
N/A,Speech-Language Pathology & Audiology,Public Health & Health Services,Health Sciences,51.02,Communication Disorders Sciences and Services.
N/A,Substance Abuse,Public Health & Health Services,Health Sciences,51.15,Mental and Social Health Services and Allied Professions.
N/A,Ecology,Biology,Natural Sciences,26.13,"Ecology, Evolution, Systematics, and Population Biology."
N/A,Entomology,Biology,Natural Sciences,26.07,Zoology/Animal Biology.
N/A,Evolutionary Biology,Biology,Natural Sciences,26.13,"Ecology, Evolution, Systematics, and Population Biology."
N/A,Marine Biology & Hydrobiology,Biology,Natural Sciences,26.13,"Ecology, Evolution, Systematics, and Population Biology."
N/A,Ornithology,Biology,Natural Sciences,26.07,Zoology/Animal Biology.
N/A,Plant Biology & Botany,Biology,Natural Sciences,26.03,Botany/Plant Biology.
N/A,Zoology,Biology,Natural Sciences,26.07,Zoology/Animal Biology.
N/A,Analytical Chemistry,Chemistry,Natural Sciences,40.05,Chemistry.
N/A,General Chemistry,Chemistry,Natural Sciences,40.05,Chemistry.
N/A,Inorganic & Nuclear Chemistry,Chemistry,Natural Sciences,40.05,Chemistry.
N/A,Medicinal & Biomolecular Chemistry,Chemistry,Natural Sciences,51.20,"Pharmacy, Pharmaceutical Sciences, and Administration."
N/A,Organic Chemistry,Chemistry,Natural Sciences,40.05,Chemistry.
N/A,Physical Chemistry,Chemistry,Natural Sciences,40.05,Chemistry.
N/A,Polymers,Chemistry,Natural Sciences,14.32,Polymer/Plastics Engineering.
N/A,Environmental Sciences,Earth & Environmental Sciences,Natural Sciences,3.01,Natural Resources Conservation and Research.
N/A,Geochemistry & Geophysics,Earth & Environmental Sciences,Natural Sciences,40.06,Geological and Earth Sciences/Geosciences.
N/A,Geology,Earth & Environmental Sciences,Natural Sciences,40.06,Geological and Earth Sciences/Geosciences.
N/A,Meteorology & Atmospheric Sciences,Earth & Environmental Sciences,Natural Sciences,40.04,Atmospheric Sciences and Meteorology.
N/A,Oceanography,Earth & Environmental Sciences,Natural Sciences,40.06,Geological and Earth Sciences/Geosciences.
N/A,Paleontology,Earth & Environmental Sciences,Natural Sciences,40.06,Geological and Earth Sciences/Geosciences.
N/A,Applied Mathematics,Mathematics & Statistics,Natural Sciences,27.03,Applied Mathematics.
N/A,General Mathematics,Mathematics & Statistics,Natural Sciences,27.01,Mathematics.
N/A,Numerical & Computational Mathematics,Mathematics & Statistics,Natural Sciences,27.03,Applied Mathematics.
N/A,Statistics & Probability,Mathematics & Statistics,Natural Sciences,27.05,Statistics.
N/A,Acoustics,Physics & Astronomy,Natural Sciences,40.08,Physics.
N/A,Applied Physics,Physics & Astronomy,Natural Sciences,40.08,Physics.
N/A,Astronomy & Astrophysics,Physics & Astronomy,Natural Sciences,40.02,Astronomy and Astrophysics.
N/A,Chemical Physics,Physics & Astronomy,Natural Sciences,40.05,Chemistry.
N/A,Fluids & Plasmas,Physics & Astronomy,Natural Sciences,40.08,Physics.
N/A,General Physics,Physics & Astronomy,Natural Sciences,40.08,Physics.
N/A,Mathematical Physics,Physics & Astronomy,Natural Sciences,40.08,Physics.
N/A,Nuclear & Particle Physics,Physics & Astronomy,Natural Sciences,40.08,Physics.
N/A,Optics,Physics & Astronomy,Natural Sciences,40.08,Physics.
