ID,Low Level Name,Mid Level Name,High Level Name,CIP Number,CIP Group Name
9.06.10,Water Resource Management,,,03.02.05,"Water, Wetlands, and Marine Resources Management."
6.64.01,Land Use Law,,,03.02.06,Land Use Planning and Management/Development.
9.06.07,Natural Resources Management and Policy,,,03.02.07,Natural Resource Recreation and Tourism.
6.37.01,Environmental Law,,,03.02.08,Natural Resources Law Enforcement and Protective Services.
9.06.07,Natural Resources Management and Policy,,,03.02.99,"Natural Resources Management and Policy, Other."
,#N/A,,,3.03,Fishing and Fisheries Sciences and Management.
7.02.01,Aquaculture and Fisheries,,,03.03.01,Fishing and Fisheries Sciences and Management.
7.12.04,Other Forestry and Forest Sciences,,,3.05,Forestry.
7.12.04,Other Forestry and Forest Sciences,,,03.05.01,"Forestry, General."
7.12.00,Forest Sciences,,,03.05.02,Forest Sciences and Biology.
7.12.02,Forest Management,,,03.05.06,Forest Management/Forest Resources Management.
7.12.04,Other Forestry and Forest Sciences,,,03.05.08,Urban Forestry.
7.12.03,"Wood Science and Pulp, Paper Technology",,,03.05.09,Wood Science and Wood Products/Pulp and Paper Technology.
7.12.02,Forest Management,,,03.05.10,Forest Resources Production and Management.
7.12.04,Other Forestry and Forest Sciences,,,03.05.11,Forest Technology/Technician.
7.12.04,Other Forestry and Forest Sciences,,,03.05.99,"Forestry, Other."
,#N/A,,,3.06,Wildlife and Wildlands Science and Management.
9.06.06,Natural Resources and Conservation,,,03.06.01,"Wildlife, Fish and Wildlands Science and Management."
9.06.06,Natural Resources and Conservation,,,3.99,"Natural Resources and Conservation, Other."
9.06.06,Natural Resources and Conservation,,,03.99.99,"Natural Resources and Conservation, Other."
,#N/A,,,04.00.00,ARCHITECTURE AND RELATED SERVICES.
1.00.00,Architecture,,,04.02.00,Architecture.
1.00.00,Architecture,,,04.02.01,Architecture.
,#N/A,,,4.03,"City/Urban, Community and Regional Planning."
1.10.01,"Urban, Community and Regional Planning",,,04.03.01,"City/Urban, Community and Regional Planning."
1.06.01,Environmental Design,,,4.04,Environmental Design.
1.06.01,Environmental Design,,,04.04.01,Environmental Design/Architecture.
1.08.01,Interior Architecture,,,4.05,Interior Architecture.
1.08.01,Interior Architecture,,,04.05.01,Interior Architecture.
1.09.01,Landscape Architecture,,,4.06,Landscape Architecture.
1.09.01,Landscape Architecture,,,04.06.01,Landscape Architecture.
1.02.01,Architectural History and Criticism,,,4.08,Architectural History and Criticism.
1.02.01,Architectural History and Criticism,,,04.08.01,"Architectural History and Criticism, General."
,#N/A,,,4.09,Architectural Sciences and Technology.
1.03.01,Architectural Technology,,,04.09.01,Architectural Technology/Technician.
1.03.01,Architectural Technology,,,04.09.02,Architectural and Building Sciences/Technology.
1.03.01,Architectural Technology,,,04.09.99,"Architectural Sciences and Technology, Other."
,#N/A,,,4.1,Real Estate Development.
6.94.01,Property Law and Real Estate,,,04.10.01,Real Estate Development.
1.11.01,Other Architecture,,,4.99,"Architecture and Related Services, Other."
1.11.01,Other Architecture,,,04.99.99,"Architecture and Related Services, Other."
,#N/A,,,,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES."
,#N/A,,,5.01,Area Studies.
10.10.01,African Studies,,,05.01.01,African Studies.
2.02.00,American Studies,,,05.01.02,American/United States Studies/Civilization.
10.10.02,Asian Studies,,,05.01.03,Asian Studies/Civilization.
10.10.02,Asian Studies,,,05.01.04,East Asian Studies.
10.10.03,Eastern European Studies,,,05.01.05,"Russian, Central European, East European and Eurasian Studies."
10.10.00,International and Area Studies,,,05.01.06,European Studies/Civilization.
10.10.04,Latin American Studies,,,05.01.07,Latin American Studies.
10.10.05,Near and Middle Eastern Studies,,,05.01.08,Near and Middle Eastern Studies.
10.10.00,International and Area Studies,,,05.01.09,Pacific Area/Pacific Rim Studies.
10.10.07,Other International and Area Studies,,,05.01.10,Russian Studies.
2.42.01,Scandinavian Studies,,,05.01.11,Scandinavian Studies.
10.10.02,Asian Studies,,,05.01.12,South Asian Studies.
10.10.02,Asian Studies,,,05.01.13,Southeast Asian Studies.
10.10.07,Other International and Area Studies,,,05.01.14,Western European Studies.
10.10.07,Other International and Area Studies,,,05.01.15,Canadian Studies.
10.10.07,Other International and Area Studies,,,05.01.16,Balkans Studies.
10.10.07,Other International and Area Studies,,,05.01.17,Baltic Studies.
10.10.00,International and Area Studies,,,05.01.18,Slavic Studies.
2.27.01,Caribbean Languages and Societies,,,05.01.19,Caribbean Studies.
10.10.02,Asian Studies,,,05.01.20,Ural-Altaic and Central Asian Studies.
10.10.07,Other International and Area Studies,,,05.01.21,Commonwealth Studies.
10.10.07,Other International and Area Studies,,,05.01.22,"Regional Studies (U.S., Canadian, Foreign)"
2.15.01,Chinese Studies,,,05.01.23,Chinese Studies.
10.10.00,International and Area Studies,,,05.01.24,French Studies.
10.10.00,International and Area Studies,,,05.01.25,German Studies.
10.10.00,International and Area Studies,,,05.01.26,Italian Studies.
2.15.02,Japanese Studies,,,05.01.27,Japanese Studies.
2.15.03,Korean Studies,,,05.01.28,Korean Studies.
10.10.07,Other International and Area Studies,,,05.01.29,Polish Studies.
10.10.00,International and Area Studies,,,05.01.30,Spanish and Iberian Studies.
10.10.07,Other International and Area Studies,,,05.01.31,Tibetan Studies.
10.10.07,Other International and Area Studies,,,05.01.32,Ukraine Studies.
10.10.07,Other International and Area Studies,,,05.01.33,Irish Studies.
10.10.04,Latin American Studies,,,05.01.34,Latin American and Caribbean Studies.
10.10.07,Other International and Area Studies,,,05.01.99,"Area Studies, Other."
,#N/A,,,5.02,"Ethnic, Cultural Minority, Gender, and Group Studies."
2.37.04,Ethnic Studies,,,05.02.00,Ethnic Studies.
2.37.01,African American Studies,,,05.02.01,African-American/Black Studies.
2.02.00,American Studies,,,05.02.02,American Indian/Native American Studies.
2.37.03,Chicana/o Studies,,,05.02.03,"Hispanic-American, Puerto Rican, and Mexican-American/Chicano Studies."
2.37.02,Asian American Studies,,,05.02.06,Asian-American Studies.
2.18.02,Women's Studies,,,05.02.07,Women's Studies.
2.18.01,"Lesbian, Gay, Bisexual, and Transgender Studies",,,05.02.08,Gay/Lesbian Studies.
10.03.03,Folklore,,,05.02.09,Folklore Studies.
10.26.01,Other Social and Behavioral Sciences,,,05.02.10,Disability Studies.
4.07.00,Disability and Equity in Education,,,05.02.11,Deaf Studies.
2.50.01,"Other Languages, Societies, and Cultures",,,05.02.99,"Ethnic, Cultural Minority, Gender, and Group Studies, Other."
,#N/A,,,5.99,"Area, Ethnic, Cultural, and Gender Studies, Other."
2.50.01,"Other Languages, Societies, and Cultures",,,05.99.99,"Area, Ethnic, Cultural, and Gender Studies, Other."
,#N/A,,,,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS."
,#N/A,,,9.01,Communication and Media Studies.
10.04.00,Communication,,,09.01.00,"Communication, General."
10.04.16,Speech and Rhetorical Studies,,,09.01.01,Speech Communication and Rhetoric.
10.04.10,Mass Communication,,,09.01.02,Mass Communication/Media Studies.
10.04.17,Other Communication,,,09.01.99,"Communication and Media Studies, Other."
,#N/A,,,9.04,Journalism.
10.04.09,Journalism Studies,,,09.04.01,Journalism.
10.04.01,Broadcast and Video Studies,,,09.04.02,Broadcast Journalism.
2.36.01,Photography,,,09.04.04,Photojournalism.
10.04.09,Journalism Studies,,,09.04.99,"Journalism, Other."
,#N/A,,,9.07,"Radio, Television, and Digital Communication."
10.04.01,Broadcast and Video Studies,,,09.07.01,Radio and Television.
10.04.02,Communication Technology and New Media,,,09.07.02,Digital Communication and Media/Multimedia.
10.04.17,Other Communication,,,09.07.99,"Radio, Television, and Digital Communication, Other."
,#N/A,,,9.09,"Public Relations, Advertising, and Applied Communication."
10.04.12,Public Relations and Advertising,,,09.09.00,"Public Relations, Advertising, and Applied Communication."
10.04.11,Organizational Communication,,,09.09.01,"Organizational Communication, General."
10.04.12,Public Relations and Advertising,,,09.09.02,Public Relations/Image Management.
10.04.12,Public Relations and Advertising,,,09.09.03,Advertising.
10.04.14,Social Influence and Political Communication,,,09.09.04,Political Communication.
10.04.06,Health Communication,,,09.09.05,Health Communication.
10.04.17,Other Communication,,,09.09.06,Sports Communication.
10.04.07,International and Intercultural Communication,,,09.09.07,International and Intercultural Communication.
10.04.17,Other Communication,,,09.09.08,Technical and Scientific Communication.
10.04.12,Public Relations and Advertising,,,09.09.99,"Public Relations, Advertising, and Applied Communication, Other"
10.04.13,Publishing,,,9.1,Publishing.
10.04.13,Publishing,,,09.10.01,Publishing.
10.04.17,Other Communication,,,9.99,"Communication, Journalism, and Related Programs, Other."
10.04.17,Other Communication,,,09.99.99,"Communication, Journalism, and Related Programs, Other."
,#N/A,,,,COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPORT SERVICES.
,#N/A,,,10.01,Communications Technology/Technician.
10.04.02,Communication Technology and New Media,,,10.01.05,Communications Technology/Technician.
,#N/A,,,10.02,Audiovisual Communications Technologies/Technicians.
10.04.01,Broadcast and Video Studies,,,10.02.01,Photographic and Film/Video Technology/Technician and Assistant.
10.04.01,Broadcast and Video Studies,,,10.02.02,Radio and Television Broadcasting Technology/Technician.
10.04.17,Other Communication,,,10.02.03,Recording Arts Technology/Technician.
10.04.01,Broadcast and Video Studies,,,10.02.99,"Audiovisual Communications Technologies/Technicians, Other."
10.04.05,Graphic Communications,,,10.03,Graphic Communications.
10.04.05,Graphic Communications,,,10.03.01,"Graphic Communications, General."
2.04.07,Graphic Design,,,10.03.02,Printing Management.
10.04.13,Publishing,,,10.03.03,Prepress/Desktop Publishing and Digital Imaging Design.
2.04.11,Interdisciplinary Arts and Media,,,10.03.04,"Animation, Interactive Technology, Video Graphics and Special Effects."
2.04.07,Graphic Design,,,10.03.05,"Graphic and Printing Equipment Operator, General Production."
2.04.11,Interdisciplinary Arts and Media,,,10.03.06,Platemaker/Imager.
2.04.11,Interdisciplinary Arts and Media,,,10.03.07,Printing Press Operator.
2.04.11,Interdisciplinary Arts and Media,,,10.03.08,Computer Typography and Composition Equipment Operator.
10.04.05,Graphic Communications,,,10.03.99,"Graphic Communications, Other."
5.10.09,Systems and Communications,,,10.99,"Communications Technologies/Technicians and Support Services, Other."
5.10.09,Systems and Communications,,,10.99.99,"Communications Technologies/Technicians and Support Services, Other."
,#N/A,,,,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.
,#N/A,,,11.01,"Computer and Information Sciences, General."
9.04.00,Computer Sciences,,,11.01.01,"Computer and Information Sciences, General."
9.04.01,Artificial Intelligence and Robotics,,,11.01.02,Artificial Intelligence.
9.04.11,Other Computer Sciences,,,11.01.03,Information Technology.
3.19.01,Management Information Systems,,,11.01.04,Informatics.
9.04.11,Other Computer Sciences,,,11.01.99,"Computer and Information Sciences,  Other."
,#N/A,,,11.02,Computer Programming.
9.04.07,Programming Languages and Compilers,,,11.02.01,"Computer Programming/Programmer, General."
9.04.07,Programming Languages and Compilers,,,11.02.02,"Computer Programming, Specific Applications."
9.04.07,Programming Languages and Compilers,,,11.02.03,"Computer Programming, Vendor/Product Certification."
9.04.07,Programming Languages and Compilers,,,11.02.99,"Computer Programming, Other."
,#N/A,,,11.03,Data Processing.
9.04.03,Databases and Information Systems,,,11.03.01,Data Processing and Data Processing Technology/Technician.
,#N/A,,,11.04,Information Science/Studies.
10.14.00,Library and Information Science,,,11.04.01,Information Science/Studies.
,#N/A,,,11.05,Computer Systems Analysis.
5.09.01,Computer and Systems Architecture,,,11.05.01,Computer Systems Analysis/Analyst.
,#N/A,,,11.06,Data Entry/Microcomputer Applications.
9.04.03,Databases and Information Systems,,,11.06.01,"Data Entry/Microcomputer Applications, General."
5.09.02,Data Storage Systems,,,11.06.02,Word Processing.
9.04.03,Databases and Information Systems,,,11.06.99,"Data Entry/Microcomputer Applications, Other."
9.04.00,Computer Sciences,,,11.07,Computer Science.
9.04.00,Computer Sciences,,,11.07.01,Computer Science.
,#N/A,,,11.08,Computer Software and Media Applications.
2.04.11,Interdisciplinary Arts and Media,,,11.08.01,"Web Page, Digital/Multimedia and Information Resources Design."
9.04.03,Databases and Information Systems,,,11.08.02,Data Modeling/Warehousing and Database Administration.
9.04.04,Graphics and Human Computer Interfaces,,,11.08.03,Computer Graphics.
9.04.04,Graphics and Human Computer Interfaces,,,11.08.04,"Modeling, Virtual Environments and Simulation."
9.04.08,Software Engineering,,,11.08.99,"Computer Software and Media Applications, Other."
,#N/A,,,11.09,Computer Systems Networking and Telecommunications.
5.10.09,Systems and Communications,,,11.09.01,Computer Systems Networking and Telecommunications.
,#N/A,,,11.1,Computer/Information Technology Administration and Management.
9.04.06,OS and Networks,,,11.10.01,Network and System Administration/Administrator.
5.09.04,Digital Communications and Networking,,,11.10.02,"System, Networking, and LAN/WAN Management/Manager."
9.04.02,Information Security,,,11.10.03,Computer and Information Systems Security/Information Assurance.
9.04.11,Other Computer Sciences,,,11.10.04,Web/Multimedia Management and Webmaster.
9.04.03,Databases and Information Systems,,,11.10.05,Information Technology Project Management.
9.04.11,Other Computer Sciences,,,11.10.06,Computer Support Specialist.
3.19.01,Management Information Systems,,,11.10.99,"Computer/Information Technology Services Administration and Management, Other."
,#N/A,,,11.99,"Computer and Information Sciences and Support Services, Other."
3.19.01,Management Information Systems,,,11.99.99,"Computer and Information Sciences and Support Services, Other."
,#N/A,,,,PERSONAL AND CULINARY SERVICES.
,#N/A,,,12.03,Funeral Service and Mortuary Science.
8.28.01,Other Medicine and Health Sciences,,,12.03.01,"Funeral Service and Mortuary Science, General."
8.28.01,Other Medicine and Health Sciences,,,12.03.02,Funeral Direction/Service.
8.28.01,Other Medicine and Health Sciences,,,12.03.03,Mortuary Science and Embalming/Embalmer.
8.28.01,Other Medicine and Health Sciences,,,12.03.99,"Funeral Service and Mortuary Science, Other."
,#N/A,,,12.04,Cosmetology and Related Personal Grooming Services.
,#N/A,,,12.04.01,"Cosmetology/Cosmetologist, General."
,#N/A,,,12.04.02,Barbering/Barber.
,#N/A,,,12.04.04,Electrolysis/Electrology and Electrolysis Technician.
,#N/A,,,12.04.06,Make-Up Artist/Specialist.
,#N/A,,,12.04.07,Hair Styling/Stylist and Hair Design.
,#N/A,,,12.04.08,Facial Treatment Specialist/Facialist.
,#N/A,,,12.04.09,Aesthetician/Esthetician and Skin Care Specialist.
,#N/A,,,12.04.10,Nail Technician/Specialist and Manicurist.
,#N/A,,,12.04.11,Permanent Cosmetics/Makeup and Tattooing.
,#N/A,,,12.04.12,Salon/Beauty Salon Management/Manager.
,#N/A,,,12.04.13,"Cosmetology, Barber/Styling, and Nail Instructor."
,#N/A,,,12.04.14,Master Aesthetician/Esthetician.
,#N/A,,,12.04.99,"Cosmetology and Related Personal Grooming Arts, Other."
,#N/A,,,12.05,Culinary Arts and Related Services.
3.14.01,Food and Beverage Management,,,12.05.00,"Cooking and Related Culinary Arts, General."
3.14.01,Food and Beverage Management,,,12.05.01,Baking and Pastry Arts/Baker/Pastry Chef.
3.14.01,Food and Beverage Management,,,12.05.02,Bartending/Bartender.
3.14.01,Food and Beverage Management,,,12.05.03,Culinary Arts/Chef Training.
3.14.01,Food and Beverage Management,,,12.05.04,"Restaurant, Culinary, and Catering Management/Manager."
3.14.01,Food and Beverage Management,,,12.05.05,Food Preparation/Professional Cooking/Kitchen Assistant.
3.14.01,Food and Beverage Management,,,12.05.06,Meat Cutting/Meat Cutter.
3.14.01,Food and Beverage Management,,,12.05.07,"Food Service, Waiter/Waitress, and Dining Room Management/Manager."
3.14.01,Food and Beverage Management,,,12.05.08,Institutional Food Workers.
3.14.01,Food and Beverage Management,,,12.05.09,Culinary Science/Culinology.
3.14.01,Food and Beverage Management,,,12.05.10,Wine Steward/Sommelier.
3.14.01,Food and Beverage Management,,,12.05.99,"Culinary Arts and Related Services, Other."
,#N/A,,,12.99,"Personal and Culinary Services, Other."
3.14.01,Food and Beverage Management,,,12.99.99,"Personal and Culinary Services, Other."
,#N/A,,,,EDUCATION.
,#N/A,,,13.01,"Education, General."
4.00.00,Education,,,13.01.01,"Education, General."
4.03.01,"Bilingual, Multilingual, and Multicultural Education",,,13.02,"Bilingual, Multilingual, and Multicultural Education."
4.03.01,"Bilingual, Multilingual, and Multicultural Education",,,13.02.01,Bilingual and Multilingual Education.
4.03.01,"Bilingual, Multilingual, and Multicultural Education",,,13.02.02,Multicultural Education.
4.21.01,Indigenous Education,,,13.02.03,Indian/Native American Education.
4.03.01,"Bilingual, Multilingual, and Multicultural Education",,,13.02.99,"Bilingual, Multilingual, and Multicultural Education, Other."
4.05.01,Curriculum and Instruction,,,13.03,Curriculum and Instruction.
4.05.01,Curriculum and Instruction,,,13.03.01,Curriculum and Instruction.
4.10.00,Educational Administration and Supervision,,,13.04,Educational Administration and Supervision.
4.12.01,Educational Leadership,,,13.04.01,"Educational Leadership and Administration, General."
4.31.01,Special Education and Teaching,,,13.04.02,Administration of Special Education.
4.01.01,Adult and Continuing Education,,,13.04.03,Adult and Continuing Education Administration.
4.05.01,Curriculum and Instruction,,,13.04.04,"Educational, Instructional, and Curriculum Supervision."
4.10.04,Higher Education Administration,,,13.04.06,Higher Education/Higher Education Administration.
4.10.02,Community College Education Administration,,,13.04.07,Community College Education.
4.10.03,Elementary and Middle and Secondary Education Administration,,,13.04.08,Elementary and Middle School Administration/Principalship.
4.29.01,Secondary Education,,,13.04.09,Secondary School Administration/Principalship.
4.10.06,Urban Education,,,13.04.10,Urban Education and Leadership.
4.10.07,Other Educational Administration and Supervision,,,13.04.11,Superintendency and Educational System Administration.
4.10.07,Other Educational Administration and Supervision,,,13.04.99,"Educational Administration and Supervision, Other."
,#N/A,,,13.05,Educational/Instructional Media Design.
4.13.01,Educational Methods,,,13.05.01,Educational/Instructional Technology.
4.11.01,"Educational Assessment, Evaluation, and Research",,,13.06,"Educational Assessment, Evaluation, and Research."
4.11.01,"Educational Assessment, Evaluation, and Research",,,13.06.01,Educational Evaluation and Research.
4.11.01,"Educational Assessment, Evaluation, and Research",,,13.06.03,Educational Statistics and Research Methods.
4.11.01,"Educational Assessment, Evaluation, and Research",,,13.06.04,"Educational Assessment, Testing, and Measurement."
4.33.07,Other Teacher Education and Professional Development,,,13.06.07,Learning Sciences.
4.11.01,"Educational Assessment, Evaluation, and Research",,,13.06.99,"Educational Assessment, Evaluation, and Research, Other."
4.23.01,International and Comparative Education,,,13.07,International and Comparative Education.
4.23.01,International and Comparative Education,,,13.07.01,International and Comparative Education.
4.30.01,Social and Philosophical Foundations of Education,,,13.09,Social and Philosophical Foundations of Education.
4.30.01,Social and Philosophical Foundations of Education,,,13.09.01,Social and Philosophical Foundations of Education.
4.31.01,Special Education and Teaching,,,13.1,Special Education and Teaching.
4.31.01,Special Education and Teaching,,,13.10.01,"Special Education and Teaching, General."
4.31.01,Special Education and Teaching,,,13.10.03,Education/Teaching of Individuals with Hearing Impairments Including Deafness.
4.31.01,Special Education and Teaching,,,13.10.04,Education/Teaching of the Gifted and Talented.
4.31.01,Special Education and Teaching,,,13.10.05,Education/Teaching of Individuals with Emotional Disturbances.
4.31.01,Special Education and Teaching,,,13.10.06,Education/Teaching of Individuals with Mental Retardation.
4.31.01,Special Education and Teaching,,,13.10.07,Education/Teaching of Individuals with Multiple Disabilities.
4.31.01,Special Education and Teaching,,,13.10.08,Education/Teaching of Individuals with Orthopedic and Other Physical Health Impairments.
4.31.01,Special Education and Teaching,,,13.10.09,Education/Teaching of Individuals with Vision Impairments Including Blindness.
4.31.01,Special Education and Teaching,,,13.10.11,Education/Teaching of Individuals with Specific Learning Disabilities.
4.31.01,Special Education and Teaching,,,13.10.12,Education/Teaching of Individuals with Speech or Language Impairments.
4.31.01,Special Education and Teaching,,,13.10.13,Education/Teaching of Individuals with Autism.
4.31.01,Special Education and Teaching,,,13.10.14,Education/Teaching of Individuals Who are Developmentally Delayed.
4.31.01,Special Education and Teaching,,,13.10.15,Education/Teaching of Individuals in Early Childhood Special Education Programs.
4.31.01,Special Education and Teaching,,,13.10.16,Education/Teaching of Individuals with Traumatic Brain Injuries.
4.31.01,Special Education and Teaching,,,13.10.17,Education/Teaching of Individuals in Elementary Special Education Programs.
4.31.01,Special Education and Teaching,,,13.10.18,Education/Teaching of Individuals in Junior High/Middle School Special Education Programs.
4.31.01,Special Education and Teaching,,,13.10.19,Education/Teaching of Individuals in Secondary Special Education Programs.
4.31.01,Special Education and Teaching,,,13.10.99,"Special Education and Teaching, Other."
4.32.01,Student Counseling and Personnel Services,,,13.11,Student Counseling and Personnel Services.
10.05.01,Counselor Education,,,13.11.01,Counselor Education/School Counseling and Guidance Services.
4.32.01,Student Counseling and Personnel Services,,,13.11.02,College Student Counseling and Personnel Services.
4.32.01,Student Counseling and Personnel Services,,,13.11.99,"Student Counseling and Personnel Services, Other."
,#N/A,,,13.12,"Teacher Education and Professional Development, Specific Levels and Methods."
4.33.01,Adult and Continuing Education and Teaching,,,13.12.01,Adult and Continuing Education and Teaching.
4.33.02,Elementary Education and Teaching,,,13.12.02,Elementary Education and Teaching.
4.33.04,"Junior High, Intermediate, Middle School Education and Teaching",,,13.12.03,Junior High/Intermediate/Middle School Education and Teaching.
4.33.06,Secondary Education and Teaching,,,13.12.05,Secondary Education and Teaching.
4.33.07,Other Teacher Education and Professional Development,,,13.12.06,"Teacher Education, Multiple Levels."
4.33.07,Other Teacher Education and Professional Development,,,13.12.07,Montessori Teacher Education.
4.33.07,Other Teacher Education and Professional Development,,,13.12.08,Waldorf/Steiner Teacher Education.
4.33.05,"Pre-Elementary, Early Childhood, Kindergarten Teacher Education",,,13.12.09,Kindergarten/Preschool Education and Teaching.
